,0,1
0,0.04348,5.539124
1,11.95652,5.539154
2,2.021736,6.286957
3,2.021736,12.199989
4,1.043488,6.286957
5,0.956528,11.452179
6,9.021729,17.36522
7,-11.956528,12.200012
8,6.956528,6.286972
9,8.95652,24.026085
10,1.02174,18.113045
11,9.956524,5.539131
12,-21.95652,-12.199999
13,7.021744,-5.53913
14,-6.021744,18.113045
15,-8.978264,12.199989
16,5.021744,5.539124
17,2.956512,5.539131
18,5.956512,11.452171
19,6.956512,-12.199997
20,-0.95652,-5.53913
21,-17.956524,5.539131
22,4.02174,12.199997
23,24.956512,-11.452171
24,-7.978262,0.373917
25,1.956524,5.539139
26,13.956528,11.452179
27,2.021736,5.539154
28,-14.95652,-12.199982
29,-7.97826,0.373917
30,3.02174,6.286949
31,-4.608696,12.178261
32,4.989132,-6.286964
33,-5.097832,-11.08696
34,-1.858696,-5.173912
35,12.097832,0.739128
36,-1.858696,11.08696
37,-3.858696,6.652176
38,6.097824,-5.173912
39,3.097828,11.08696
40,1.141304,5.173912
41,11.097824,-12.565216
42,18.097824,0.739136
43,-0.858696,-5.173904
44,7.858692,-6.65216
45,0.141304,-5.17392
46,5.097824,-5.173904
47,8.097832,-11.086945
48,-4.097832,-5.173904
49,2.858696,18.478271
50,0.141304,6.652176
51,5.097824,-6.65216
52,-0.858696,6.652176
53,1.097828,11.086952
54,5.097828,-5.173912
55,-1.858696,-5.173912
56,2.097824,12.565216
57,8.097824,5.17392
58,3.858696,6.652176
59,-6.858696,-6.652176
60,4.097824,-11.086952
61,0.858704,11.08696
62,11.858696,18.478271
63,-26.858688,12.565216
64,-2.097824,-6.652176
65,1.141296,6.652176
66,-8.858688,17.000015
67,5.858688,-18.47824
68,-2.858688,-11.086945
69,17.097824,-6.65216
70,12.097824,-0.73912
71,2.141304,-6.652176
72,-10.858696,6.652168
73,4.097824,5.173912
74,-0.858696,6.652172
75,-2.097828,6.652172
76,97.097824,0.739128
77,3.097824,-6.652174
78,-1.141296,5.173912
79,5.858688,5.17392
80,1.097824,-6.652176
81,0.141312,-6.652176
82,0.097824,6.652176
83,1.141296,-5.173912
84,9.858688,-18.478256
85,-5.858688,12.565216
86,1.141312,-6.652184
87,-16.858688,0.739128
88,12.097809,-0.739136
89,1.141296,-5.173912
90,-4.858688,6.652168
91,21.858696,-6.652174
92,-1.858696,6.652172
93,-1.097832,18.478256
94,4.097824,5.173912
95,15.930428,-6.652176
96,-27.10218,24.065214
97,-11.276093,5.499996
98,34.7239,-6.326088
99,12.897827,12.239124
100,2.902176,-5.173916
101,-9.902176,77.28261
102,-17.902168,18.152176
103,-28.815208,46.597824
104,-17.789131,82.75435
105,23.723915,46.891304
106,-14.276085,29.978256
107,-22.276085,-0.413048
108,7.897827,29.978256
109,-21.978256,53.24565
