,cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power,x,y,new_cellname,id,fo4_delay,fix_load_delay,group_id,libcell_id,size_class,size_class2,size_cnt
1239,_547_,0,0,0,6426,2430,7074,2700,0,0,0,OA222x2_ASAP7_75t_R,6.993500917262807e-11,8.959808610597975e-07,6750.0,2565.0,cell1239,2581,2.7926836190794724e-11,2.8193917686603065e-11,79,156,0,0,1
1240,_548_,0,0,0,11178,5130,11826,5400,0,0,0,OA222x2_ASAP7_75t_R,6.995769935569385e-11,8.939297799770429e-07,11502.0,5265.0,cell1240,2582,2.7926836190794724e-11,2.8193917686603065e-11,79,156,0,0,1
1241,_549_,0,0,0,10908,2970,11556,3240,0,0,0,OA222x2_ASAP7_75t_R,6.995758833339139e-11,9.11152824301098e-07,11232.0,3105.0,cell1241,2583,2.7926836190794724e-11,2.8193917686603065e-11,79,156,0,0,1
1242,_550_,0,0,0,9936,2430,10584,2700,0,0,0,OA222x2_ASAP7_75t_R,6.993494672258294e-11,8.900476018425252e-07,10260.0,2565.0,cell1242,2584,2.7926836190794724e-11,2.8193917686603065e-11,79,156,0,0,1
1243,_551_,0,0,0,3996,7560,4644,7830,0,0,0,OA222x2_ASAP7_75t_R,6.995919815677709e-11,8.938014275372552e-07,4320.0,7695.0,cell1243,2585,2.7926836190794724e-11,2.8193917686603065e-11,79,156,0,0,1
1244,_552_,0,0,0,3672,9180,4320,9450,0,0,0,OA222x2_ASAP7_75t_R,6.994605589172309e-11,8.914454383557313e-07,3996.0,9315.0,cell1244,2586,2.7926836190794724e-11,2.8193917686603065e-11,79,156,0,0,1
1245,_553_,0,0,0,3564,10260,4212,10530,0,0,0,OA222x2_ASAP7_75t_R,6.994598650278405e-11,8.758913736528484e-07,3888.0,10395.0,cell1245,2587,2.7926836190794724e-11,2.8193917686603065e-11,79,156,0,0,1
1246,_554_,0,0,0,5832,12150,6480,12420,0,0,0,OA222x2_ASAP7_75t_R,6.994602119725357e-11,9.378297818329884e-07,6156.0,12285.0,cell1246,2588,2.7926836190794724e-11,2.8193917686603065e-11,79,156,0,0,1
1247,_555_,0,0,0,6480,12150,7128,12420,0,0,0,OA222x2_ASAP7_75t_R,6.994607670840479e-11,8.916615001908212e-07,6804.0,12285.0,cell1247,2589,2.7926836190794724e-11,2.8193917686603065e-11,79,156,0,0,1
1248,_556_,0,0,0,9558,12420,10206,12690,0,0,0,OA222x2_ASAP7_75t_R,6.994603507504138e-11,8.746661137593037e-07,9882.0,12555.0,cell1248,2590,2.7926836190794724e-11,2.8193917686603065e-11,79,156,0,0,1
1249,_557_,0,0,0,11016,9990,11664,10260,0,0,0,OA222x2_ASAP7_75t_R,6.995919815677709e-11,8.868303211784223e-07,11340.0,10125.0,cell1249,2591,2.7926836190794724e-11,2.8193917686603065e-11,79,156,0,0,1
1250,_558_,0,0,0,9612,11880,10260,12150,0,0,0,OA222x2_ASAP7_75t_R,6.994568119145228e-11,8.774944717515609e-07,9936.0,12015.0,cell1250,2592,2.7926836190794724e-11,2.8193917686603065e-11,79,156,0,0,1
1251,_559_,0,0,0,11070,6750,11718,7020,0,0,0,OA222x2_ASAP7_75t_R,6.995921897345879e-11,8.826038424558647e-07,11394.0,6885.0,cell1251,2593,2.7926836190794724e-11,2.8193917686603065e-11,79,156,0,0,1
1252,_560_,0,0,0,4914,7290,5670,7560,0,0,0,FAx1_ASAP7_75t_R,7.748313796129834e-11,2.4735893475735797e-06,5292.0,7425.0,cell1252,2594,7.814118102578149e-11,3.94421162397407e-11,50,96,0,0,1
1253,_561_,0,0,0,9828,3240,10314,3510,0,0,0,HAxp5_ASAP7_75t_R,6.809144914576848e-11,1.970427319974988e-06,10071.0,3375.0,cell1253,2595,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
1254,_562_,0,0,0,10476,3510,10962,3780,0,0,0,HAxp5_ASAP7_75t_R,6.848799305458897e-11,3.310164856884512e-06,10719.0,3645.0,cell1254,2596,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
1255,_563_,0,0,0,10530,4590,11016,4860,0,0,0,HAxp5_ASAP7_75t_R,6.850311984329949e-11,1.4306108369055437e-06,10773.0,4725.0,cell1255,2597,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
1256,_564_,0,0,0,7398,4050,7884,4320,0,0,0,HAxp5_ASAP7_75t_R,6.809165037369169e-11,3.1739327823743224e-06,7641.0,4185.0,cell1256,2598,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
